state,state_name,rank,total_population,race_ethnicity_population_american_indian_and_alaska_native,race_ethnicity_population_asian,race_ethnicity_population_black,race_ethnicity_population_hispanic_or_latino,race_ethnicity_population_native_hawaiian_and_other_pacific_islander,race_ethnicity_population_other,race_ethnicity_population_white,share_american_indian_and_alaska_native,share_asian,share_black,share_hispanic_or_latino,share_native_hawaiian_and_other_pacific_islander,share_other,share_white,state_population_weight
NH,New Hampshire,41,1377528,2299,35604,18655,59454,388,5916,1200649,0.00173776328171947,0.02691227659083951,0.01410090214026826,0.04493996439815112,2.9328062344808817e-4,0.00447177362968786,0.9075440393358856,0.004161277204774757
ME,Maine,42,1362359,7293,16668,25115,26609,407,4430,1228264,0.00557233955742191,0.01273546630235959,0.01918953900790503,0.0203310548859783,3.109752090868943e-4,0.00338481615787454,0.9384758088793738,0.004115454242251144
RI,Rhode Island,43,1097379,3513,38367,55386,182101,320,11392,754050,0.00336130755150799,0.03671030083367699,0.05299441504350181,0.17423782135985127,3.0618229902720144e-4,0.01090008984536837,0.7214898830670664,0.003314994844169061
MT,Montana,44,1084225,64592,8077,5077,45199,839,4374,901318,0.06274259914752749,0.00784573899731513,0.00493163512311117,0.04390486033671498,8.149777168190419e-4,0.00424876344858937,0.8755114252299228,0.0032752588530664426
DE,Delaware,45,989948,2521,42398,212960,104290,304,4601,579851,0.00266230166063838,0.0447744013517438,0.22489637510890512,0.11013543839269212,3.2103915304802387e-4,0.00485888533938801,0.6123515589935845,0.002990464111301085
SD,South Dakota,46,886667,74595,13332,17441,38741,493,2050,705583,0.0875286746026624,0.01564357248880884,0.02046501258455707,0.04545811894606534,5.784789406677736e-4,0.00240543981413577,0.8279207026231028,0.00267846982081382
ND,North Dakota,47,779094,37350,13050,26152,33412,869,1853,636160,0.04987674368294682,0.01742681405789708,0.03492306829441567,0.04461798554041819,0.00116045221580939,0.00247447405741634,0.8495204621510964,0.0023535101301583594
AK,Alaska,48,733391,108838,43449,20731,49824,12455,4575,421758,0.1644997959584662,0.06566963408551607,0.03133322249595696,0.07530492873660505,0.01882472076538246,0.00691474086725208,0.6374529570908212,0.0022154491600076104
DC,District of Columbia,49,689545,1277,33192,282066,77652,349,3753,261771,0.00193467260552071,0.05028633760567221,0.42733387873829654,0.11764385055904009,5.287398115322849e-4,0.00568584674120534,0.39658667393873287,0.0020829978702185436
VT,Vermont,50,643503,1986,11457,8649,15504,170,2561,573201,0.00323701607750583,0.01867396435044529,0.01409715612001408,0.02527024031503044,2.770859683665619e-4,0.0041742186175692,0.9342703185510686,0.0019439128388709125
WY,Wyoming,51,576851,11781,5037,4735,59046,489,2425,469664,0.02129698089399957,0.00910558465012102,0.00855964727383821,0.1067397957615736,8.839846920605882e-4,0.00438376866717162,0.8490302380612353,0.0017425685117482355
